State,CountyName,Metro,RegionName,1 BR Median Price,2 BR Median Price,3 BR Median Price,4 BR Median Price,5+ BR Median Price
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Redondo Beach,583.125,674.75,875.0,1221.25,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,San Dimas,0.0,1912.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,San Gabriel,0.0,950.0,1450.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Santa Clarita,473.75,533.0,683.0,787.5,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Santa Monica,1000.0,1382.0,1948.8333333333333,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,South Pasadena,0.0,2472.5,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Torrance,436.25,603.75,825.0,900.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,West Covina,581.6666666666666,694.5,816.6666666666666,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,West Hollywood,866.6666666666666,1194.8333333333333,2032.5,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Whittier,482.5,600.0,833.3333333333334,0.0,0.0
CA,Marin County,San Francisco-Oakland-Hayward,Novato,0.0,2695.0,0.0,0.0,0.0
CA,Marin County,San Francisco-Oakland-Hayward,San Rafael,731.6666666666666,933.3333333333334,1316.6666666666667,0.0,0.0
CA,Marin County,San Francisco-Oakland-Hayward,Sausalito,0.0,3825.0,0.0,0.0,0.0
CA,Merced County,Merced,Merced,0.0,345.8333333333333,466.6666666666667,554.1666666666666,0.0
CA,Monterey County,Salinas,Monterey,897.5,1147.5,0.0,0.0,0.0
CA,Monterey County,Salinas,Pacific Grove,0.0,2950.0,0.0,0.0,0.0
CA,Monterey County,Salinas,Salinas,501.6666666666667,630.0,883.3333333333334,0.0,0.0
CA,Napa County,Napa,Napa,0.0,1460.0,1625.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Aliso Viejo,663.3333333333334,823.3333333333334,1000.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Anaheim,465.25,575.0,675.0,768.75,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Brea,0.0,1100.0,1398.75,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Buena Park,0.0,925.0,1400.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Costa Mesa,637.1666666666666,822.6666666666666,1125.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Cypress,0.0,2097.5,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Dana Point,710.8333333333334,933.0,1400.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Fountain Valley,891.75,1088.0,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Fullerton,633.3333333333334,765.6666666666666,924.1666666666666,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Garden Grove,533.3333333333334,650.0,933.3333333333334,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Huntington Beach,510.0,586.75,775.0,950.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Irvine,435.5,533.0,670.0,860.0,1370.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,La Habra,810.0,975.0,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Laguna Beach,623.75,1075.0,1750.0,2225.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Laguna Hills,938.5,1124.0,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Laguna Niguel,544.5,625.0,848.75,1125.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Laguna Woods,0.0,2000.0,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Lake Forest,463.0,563.25,775.0,900.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Mission Viejo,465.75,592.75,740.0,875.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Newport Beach,508.0,647.0,1000.0,1670.0,2500.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Orange,507.375,617.25,725.0,850.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Placentia,0.0,2100.0,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Rancho Santa Margarita,616.6666666666666,753.6666666666666,1000.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,San Clemente,503.75,625.0,874.75,1237.5,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Santa Ana,570.0,780.1666666666666,983.3333333333334,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Seal Beach,0.0,2602.5,0.0,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Tustin,614.1666666666666,801.6666666666666,1049.1666666666667,0.0,0.0
CA,Orange County,Los Angeles-Long Beach-Anaheim,Yorba Linda,0.0,0.0,3097.5,0.0,0.0
CA,Placer County,Sacramento--Roseville--Arden-Arcade,Rocklin,0.0,863.75,1100.0,0.0,0.0
CA,Placer County,Sacramento--Roseville--Arden-Arcade,Roseville,387.5,456.625,526.375,600.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Cathedral City,0.0,825.0,925.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Corona,390.5,462.5,567.75,643.125,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Desert Hot Springs,0.0,575.0,775.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Eastvale,0.0,556.5,652.5,699.5,737.5
CA,Riverside County,Riverside-San Bernardino-Ontario,Hemet,317.5,400.0,525.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Indian Wells,0.0,0.0,5950.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Indio,0.0,1100.0,1200.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,La Quinta,0.0,1987.5,2500.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Lake Elsinore,0.0,502.5,631.6666666666666,731.6666666666666,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Menifee,0.0,491.6666666666667,650.0,745.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Moreno Valley,367.0,413.25,475.0,498.75,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Murrieta,301.6,344.0,419.5,480.0,510.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Palm Desert,543.3333333333334,1100.0,1191.6666666666667,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Palm Springs,483.3333333333333,765.0,1200.0,0.0,0.0
